"cohort_id","n_row","n_subject","follow_up_days","n_Jan-Apr 2021","n_Sep-Dec 2020"
220128,297130,297124,47324924,58487,238643
220190,297130,297124,47546249,58487,238643
220228,301743,301737,48305666,59510,242233
220290,301743,301737,48356275,59510,242233
220328,303295,303289,48631513,59670,243625
220390,303295,303289,48647143,59670,243625
220428,295287,295281,46928403,58173,237114
220490,295287,295281,47192400,58173,237114
220528,303616,303610,48691945,59760,243856
220590,303616,303610,48700705,59760,243856
220628,301594,301589,48222695,59365,242229
220690,301594,301589,48334060,59365,242229
220728,303722,303716,48714140,59787,243935
220790,303722,303716,48719391,59787,243935
220828,298226,298220,47555776,58734,239492
220890,298226,298220,47758306,58734,239492
220928,297172,297166,47354013,58411,238761
220990,297172,297166,47545223,58411,238761
221028,301923,301918,48330666,59448,242475
221090,301923,301918,48397931,59448,242475
221128,299634,299628,47753173,59017,240617
221190,299634,299628,47972422,59017,240617
221228,300655,300649,47983806,59199,241456
221290,300655,300649,48152959,59199,241456
221328,299914,299908,47907699,59060,240854
221390,299914,299908,48046229,59060,240854
221428,298629,298624,47653907,58697,239932
221490,298629,298624,47813295,58697,239932
221628,303074,303068,48587246,59662,243412
221690,303074,303068,48609836,59662,243412
221728,295100,295095,46927059,58017,237083
221790,295100,295095,47189709,58017,237083
221828,303677,303671,48701334,59788,243889
221890,303677,303671,48710299,59788,243889
221928,302286,302280,48407454,59537,242749
221990,302286,302280,48461883,59537,242749
222028,303664,303658,48706203,59781,243883
222090,303664,303658,48710242,59781,243883
222128,302587,302581,48482828,59544,243043
222190,302587,302581,48520872,59544,243043
222428,303386,303380,48640915,59729,243657
222490,303386,303380,48660653,59729,243657
222528,303835,303829,48740939,59811,244024
222590,303835,303829,48740939,59811,244024
222628,302314,302308,48385353,59484,242830
222690,302314,302308,48461412,59484,242830
222728,302541,302536,48427735,59579,242962
222790,302541,302536,48499752,59579,242962
223028,302626,302620,48469065,59560,243066
223090,302626,302620,48521520,59560,243066
280128,1235269,1142212,213979516,128337,1106932
280190,1235269,1142212,215137238,128337,1106932
280228,1254779,1159476,218733698,131033,1123746
280290,1254779,1159476,218988502,131033,1123746
280328,1264040,1167453,220863311,131577,1132463
280390,1264040,1167453,220878213,131577,1132463
280428,1217809,1127017,210116670,126679,1091130
280490,1217809,1127017,211613376,126679,1091130
280528,1264535,1167878,220894196,131666,1132869
280590,1264535,1167878,220941193,131666,1132869
280628,1256032,1160410,218844484,130746,1125286
280690,1256032,1160410,219239286,130746,1125286
280728,1264880,1168190,220977788,131718,1133162
280790,1264880,1168190,221011267,131718,1133162
280828,1241677,1148344,215365448,129453,1112224
280890,1241677,1148344,216329125,129453,1112224
280928,1225956,1133935,211990991,127438,1098518
280990,1225956,1133935,213222932,127438,1098518
281028,1257498,1161616,219203769,130869,1126629
281090,1257498,1161616,219533545,130869,1126629
281128,1246837,1152146,216727145,129872,1116965
281190,1246837,1152146,217429919,129872,1116965
281228,1251093,1156199,217727227,130245,1120848
281290,1251093,1156199,218271061,130245,1120848
281328,1247935,1153309,216966536,129998,1117937
281390,1247935,1153309,217639170,129998,1117937
281428,1243019,1149273,215756922,129327,1113692
281490,1243019,1149273,216610894,129327,1113692
281628,1262700,1166290,220467345,131519,1131181
281690,1262700,1166290,220575154,131519,1131181
281728,1228922,1136004,212581951,127613,1101309
281790,1228922,1136004,213871883,127613,1101309
281828,1264682,1167999,220945563,131687,1132995
281890,1264682,1167999,220978491,131687,1132995
281928,1258487,1162598,219472049,131049,1127438
281990,1258487,1162598,219743030,131049,1127438
282028,1264732,1168018,220968794,131673,1133059
282090,1264732,1168018,220993907,131673,1133059
282128,1260186,1164002,219888430,131133,1129053
282190,1260186,1164002,220080844,131133,1129053
282428,1263539,1167010,220671609,131563,1131976
282490,1263539,1167010,220748567,131563,1131976
282528,1265539,1168762,221150124,131768,1133771
282590,1265539,1168762,221150124,131768,1133771
282628,1257496,1161685,219140701,130864,1126632
282690,1257496,1161685,219511165,130864,1126632
282728,1259099,1163199,219568883,131091,1128008
282790,1259099,1163199,219840534,131091,1128008
283028,1259950,1163789,219772138,131140,1128810
283090,1259950,1163789,220022889,131140,1128810
