"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","Reinfections",576,13253,4.34618576925979,"First infection",4207,39492,10.6527904385698,"SIDIAP",0.407985662941782,0.374805644327214,0.444102973595373
"Allergy","Reinfections",235,13253,1.77318343016675,"First infection",1625,39492,4.11475741922415,"SIDIAP",0.430932677071664,0.37637561683231,0.49339798824133
"Altered smell taste","Reinfections",16,13253,0.120727382479439,"First infection",221,39492,0.559607009014484,"SIDIAP",0.215736008546515,0.129932979786621,0.358200246465636
"Anxiety","Reinfections",368,13253,2.77672979702709,"First infection",2595,39492,6.57095107869948,"SIDIAP",0.422576543908261,0.379548990799691,0.470481913507951
"Blurred vision","Reinfections",91,13253,0.686636987851807,"First infection",598,39492,1.51423073027449,"SIDIAP",0.453455985355244,0.364030673389717,0.564848914350588
"Chest pain","Reinfections",244,13253,1.84109258281144,"First infection",1593,39492,4.03372835004558,"SIDIAP",0.456424534089073,0.399465196246957,0.521505646238171
"Cognitive dysfunction brain fog","Reinfections",54,13253,0.407454915868105,"First infection",355,39492,0.898916236199737,"SIDIAP",0.453273508097555,0.340660906770257,0.603112564605558
"Cough","Reinfections",285,13253,2.150456500415,"First infection",1954,39492,4.9478375367163,"SIDIAP",0.434625527709259,0.384435223114675,0.491368475047887
"Depression","Reinfections",186,13253,1.40345582132347,"First infection",1136,39492,2.87653195583916,"SIDIAP",0.487898567743896,0.418354969351665,0.569002473606205
"Dizziness","Reinfections",267,13253,2.01463819512563,"First infection",1838,39492,4.65410716094399,"SIDIAP",0.432873186082162,0.381303997915553,0.491416812446905
"Dyspnea","Reinfections",150,13253,1.13181921074474,"First infection",912,39492,2.30932847158918,"SIDIAP",0.490107502968543,0.412839646408613,0.581836959109093
"Fatigue malaise","Reinfections",255,13253,1.92409265826605,"First infection",1843,39492,4.66676795300314,"SIDIAP",0.41229662105395,0.362228706592908,0.469285014242526
"Gastrointestinal issues","Reinfections",413,13253,3.11627556025051,"First infection",2409,39492,6.09996961409906,"SIDIAP",0.510867390724006,0.461091888863441,0.566016226285103
"Headache","Reinfections",292,13253,2.20327473024975,"First infection",2123,39492,5.37577230831561,"SIDIAP",0.409852687927571,0.363238049086972,0.462449421869994
"Intermittent fever","Reinfections",201,13253,1.51663774239795,"First infection",1236,39492,3.12974779702218,"SIDIAP",0.484587845653558,0.41802456278355,0.561750196188225
"Joint pain","Reinfections",580,13253,4.37636761487965,"First infection",4681,39492,11.8530335257774,"SIDIAP",0.369219204970791,0.339470209570511,0.401575211832976
"Memory issues","Reinfections",39,13253,0.294272994793632,"First infection",267,39492,0.676086295958675,"SIDIAP",0.435259517243075,0.311230341945187,0.608715866732686
"Menstrual problems","Reinfections",76,13253,0.573455066777333,"First infection",602,39492,1.52435936392181,"SIDIAP",0.37619414447127,0.296582343546492,0.477176195461163
"Muscle spams pain","Reinfections",23,13253,0.173545612314193,"First infection",170,39492,0.430466930011141,"SIDIAP",0.403156665971301,0.260947674153118,0.622865476170992
"Neuralgia","Reinfections",167,13253,1.26009205462914,"First infection",1201,39492,3.04112225260812,"SIDIAP",0.41435100267622,0.352850890005169,0.486570271698262
"Pins sensation","Reinfections",69,13253,0.520636836942579,"First infection",446,39492,1.12934265167629,"SIDIAP",0.461008743599469,0.358036111475091,0.59359672073175
"Sleep disorder","Reinfections",218,13253,1.64491058628235,"First infection",1354,39492,3.42854248961815,"SIDIAP",0.479769637174761,0.416394293454809,0.552790728338314
"Tachycardia","Reinfections",77,13253,0.581000528182298,"First infection",533,39492,1.34964043350552,"SIDIAP",0.43048541949297,0.339263314481044,0.546235588953998
"Tinnitus and hearing problems","Reinfections",107,13253,0.807364370331246,"First infection",777,39492,1.9674870859921,"SIDIAP",0.410353072240947,0.335585043297421,0.501779347026333
